"Type","Name","SourcePath","DestinationPath","SourceExists","DestinationExists","SourceFileCount","DestinationFileCount","SourceSize","DestinationSize","Notes"
"Page folder","Amphibians","D:\github\ron-english-sketches-and-drawings\Sketches\amphibians","D:\github\ron-english-sketches-animals\Sketches\amphibians","True","True","30","30","216.01 KB","216.01 KB","Backup folders may be excluded from destination"
"Page folder","Aquatic Dwellers","D:\github\ron-english-sketches-and-drawings\Sketches\aquatic-dwellers","D:\github\ron-english-sketches-animals\Sketches\aquatic-dwellers","True","True","70","70","642.25 KB","642.25 KB","Backup folders may be excluded from destination"
"Page folder","Avians","D:\github\ron-english-sketches-and-drawings\Sketches\avians","D:\github\ron-english-sketches-animals\Sketches\avians","True","True","104","52","1,004.82 KB","502.26 KB","Backup folders may be excluded from destination"
"Page folder","Bears","D:\github\ron-english-sketches-and-drawings\Sketches\bears","D:\github\ron-english-sketches-animals\Sketches\bears","True","True","11","11","79.84 KB","79.84 KB","Backup folders may be excluded from destination"
"Page folder","Bigfoot","D:\github\ron-english-sketches-and-drawings\Sketches\bigfoot","D:\github\ron-english-sketches-animals\Sketches\bigfoot","True","True","18","18","207.10 KB","207.10 KB","Backup folders may be excluded from destination"
"Page folder","Canines and Felines","D:\github\ron-english-sketches-and-drawings\Sketches\canines-and-felines","D:\github\ron-english-sketches-animals\Sketches\canines-and-felines","True","True","70","70","697.23 KB","697.23 KB","Backup folders may be excluded from destination"
"Page folder","Insects","D:\github\ron-english-sketches-and-drawings\Sketches\insects","D:\github\ron-english-sketches-animals\Sketches\insects","True","True","3","3","19.93 KB","19.93 KB","Backup folders may be excluded from destination"
"Page folder","Monkeys","D:\github\ron-english-sketches-and-drawings\Sketches\monkeys","D:\github\ron-english-sketches-animals\Sketches\monkeys","True","True","17","17","142.11 KB","142.11 KB","Backup folders may be excluded from destination"
"Page folder","Reptiles","D:\github\ron-english-sketches-and-drawings\Sketches\reptiles","D:\github\ron-english-sketches-animals\Sketches\reptiles","True","True","41","41","362.20 KB","362.20 KB","Backup folders may be excluded from destination"
"Page folder","Small Mammals","D:\github\ron-english-sketches-and-drawings\Sketches\small-mammals","D:\github\ron-english-sketches-animals\Sketches\small-mammals","True","True","113","113","1.01 MB","1.01 MB","Backup folders may be excluded from destination"
"Page folder","Snails","D:\github\ron-english-sketches-and-drawings\Sketches\snails","D:\github\ron-english-sketches-animals\Sketches\snails","True","True","8","8","52.41 KB","52.41 KB","Backup folders may be excluded from destination"
"Page folder","Ungulates","D:\github\ron-english-sketches-and-drawings\Sketches\ungulates","D:\github\ron-english-sketches-animals\Sketches\ungulates","True","True","94","94","832.25 KB","832.25 KB","Backup folders may be excluded from destination"
"Image folder","amphibians","D:\github\ron-english-sketches-and-drawings\images\Sketches\amphibians","D:\github\ron-english-sketches-animals\images\Sketches\amphibians","True","True","99","99","12.25 MB","12.25 MB","Required"
"Image folder","aquatic-dwellers","D:\github\ron-english-sketches-and-drawings\images\Sketches\aquatic-dwellers","D:\github\ron-english-sketches-animals\images\Sketches\aquatic-dwellers","True","True","214","214","43.95 MB","43.95 MB","Required"
"Image folder","avians","D:\github\ron-english-sketches-and-drawings\images\Sketches\avians","D:\github\ron-english-sketches-animals\images\Sketches\avians","True","True","219","219","31.92 MB","31.92 MB","Required"
"Image folder","bears","D:\github\ron-english-sketches-and-drawings\images\Sketches\bears","D:\github\ron-english-sketches-animals\images\Sketches\bears","True","True","29","29","5.86 MB","5.86 MB","Required"
"Image folder","bigfoot","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot","D:\github\ron-english-sketches-animals\images\Sketches\bigfoot","True","True","81","81","16.88 MB","16.88 MB","Required"
"Image folder","Canines and felines","D:\github\ron-english-sketches-and-drawings\images\Sketches\Canines and felines","D:\github\ron-english-sketches-animals\images\Sketches\Canines and felines","True","True","323","323","43.81 MB","43.81 MB","Required"
"Image folder","Insects","D:\github\ron-english-sketches-and-drawings\images\Sketches\Insects","D:\github\ron-english-sketches-animals\images\Sketches\Insects","True","True","7","7","1.03 MB","1.03 MB","Required"
"Image folder","Monkeys","D:\github\ron-english-sketches-and-drawings\images\Sketches\Monkeys","D:\github\ron-english-sketches-animals\images\Sketches\Monkeys","True","True","69","69","10.90 MB","10.90 MB","Required"
"Image folder","Reptiles","D:\github\ron-english-sketches-and-drawings\images\Sketches\Reptiles","D:\github\ron-english-sketches-animals\images\Sketches\Reptiles","True","True","146","146","25.35 MB","25.35 MB","Required"
"Image folder","Small Mammals","D:\github\ron-english-sketches-and-drawings\images\Sketches\Small Mammals","D:\github\ron-english-sketches-animals\images\Sketches\Small Mammals","True","True","588","588","79.26 MB","79.26 MB","Required"
"Image folder","Snails","D:\github\ron-english-sketches-and-drawings\images\Sketches\Snails","D:\github\ron-english-sketches-animals\images\Sketches\Snails","True","True","22","22","10.39 MB","10.39 MB","Required"
"Image folder","Ungulates","D:\github\ron-english-sketches-and-drawings\images\Sketches\Ungulates","D:\github\ron-english-sketches-animals\images\Sketches\Ungulates","True","True","492","492","72.02 MB","72.02 MB","Required"
"Image folder","sharks","D:\github\ron-english-sketches-and-drawings\images\Sketches\sharks","D:\github\ron-english-sketches-animals\images\Sketches\sharks","True","True","39","39","6.70 MB","6.70 MB","Optional supplemental folder"
"Generated file","Root landing page","","D:\github\ron-english-sketches-animals\index.html","","True","","","","","Repository home page"
"Generated file","Sketches landing page","","D:\github\ron-english-sketches-animals\Sketches\index.html","","True","","","","","Animals landing page"
"Audit","Navigation updates","","","","","","","","","HTML scanned: 527; HTML changed: 4; anchors updated: 4; anchors removed: 0"
"Audit","Possible missing image references","","D:\github\ron-english-sketches-animals\_copy-audit\copy-animals-to-new-repo-20260511-142627-possible-missing-image-references.csv","","True","","218","","","Should ideally be 0. If not, upload this CSV."
"Audit","Possible missing internal page links","","D:\github\ron-english-sketches-animals\_copy-audit\copy-animals-to-new-repo-20260511-142627-possible-missing-internal-page-links.csv","","True","","17","","","May include intentionally removed links to other split repos. Upload if local testing shows broken buttons."
